ID,Name,Type,Mythology,Overall%,Missing Fields
brahma,Brahma,deity,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
abydos,Abydos,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
ama-no-iwato,Ama-no-Iwato (Heavenly Rock Cave),place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
asgard,Asgard,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
avalon,Avalon,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
bifrost,Bifrost,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
burning-bush,Burning Bush,place,jewish,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
crete,Crete,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
delphi,Delphi,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
diyu,Diyu,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
dodona,Dodona,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
dragon-palace,Dragon Palace,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
duat,Duat,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
elysium,Elysium,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
field-of-reeds,Field of Reeds,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
giza,Giza Pyramid Complex,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
helheim,Helheim,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
heliopolis,Heliopolis,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
hill-of-tara,Hill of Tara,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
ise-shrine,Ise Grand Shrine,place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
izumo-shrine,Izumo Taisha,place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
jade-emperor-palace,Jade Emperor's Palace,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
jotunheim,Jotunheim,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
karnak,Karnak Temple Complex,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
kunlun-mountain,Kunlun Mountain,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
kurukshetra,Kurukshetra,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mag-mell,Mag Mell,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
midgard,Midgard,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mimirs-well,Mímisbrunnr (Mimir's Well),place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mount-fuji,Mount Fuji,place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mount-kailash,Mount Kailash,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mount-meru,Mount Meru,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mount-olympus,Mount Olympus,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mount-sinai,Mount Sinai,place,jewish,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
mount-tai,Mount Tai,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
newgrange,Newgrange,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
nile-river,Nile River,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
otherworld,The Otherworld,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
patala,Patala,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
penglai,Penglai,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
river-ganges,River Ganges,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
river-styx,River Styx,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
ryugu-jo,Ryugu-jo (Dragon Palace),place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
swarga,Swarga,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
takamagahara,Takamagahara (Plain of High Heaven),place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
tartarus,Tartarus,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
tech-duinn,Tech Duinn,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
thebes,Thebes,place,egyptian,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
tir-na-nog,Tír na nÓg,place,celtic,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
underworld,Underworld,place,greek,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
vaikuntha,Vaikuntha,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
valhalla,Valhalla,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
varanasi,Varanasi,place,hindu,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
yellow-river,Yellow River,place,chinese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
yggdrasil,Yggdrasil,place,norse,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy
yomi,Yomi (Underworld),place,japanese,0,originalName; transliteration; pronunciation; alternativeNames; etymology; primaryLocation; coordinates; region; culturalArea; modernCountries; mythologicalDate; historicalDate; firstAttestation; culturalPeriod; worshipPractices; socialRole; modernLegacy